"Qty";"Value";"Device";"Package";"Parts";"Description";"ASSEMBLE";"DESCRIPTION";"FOOTPRINT";"LINK";"MF";"MFG";"MFG_PN";"MPN";"OC_FARNELL";"OC_NEWARK";"PART_TYPE";"PRICE";"TOLLERANCE";"VALUE";"VENDOR";"VENDOR_PART_NUMBER";
"5";"";"1,6/0,8";"1,6/0,8";"G, L+, L-, R+, R-";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PAM8403";"SOP-16";"PAM1";"Dual channel audio amplifier IC - PAM8403";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10";"R-EU_M0805";"M0805";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"100nF";"C-EUC0805";"C0805";"C1, C2, C3, C6, C16, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10k";"R-EU_R0805";"R0805";"R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10k ";"R-EU_M0805";"M0805";"R1, R9, R28";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10nF";"C-EUC0805";"C0805";"C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"12k";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1uF";"C-EUC0805";"C0805";"C11, C12, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"20k ";"R-EU_M0805";"M0805";"R2, R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22uF";"C-EUC1206";"C1206";"C4, C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2X20-CHIP2X20-SMT-CHIP";"2X20-CHIP2X20-SMT-CHIP";"2XAWHW40_G_SMD_R";"J1";"Chip header";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7K";"R-EU_M0805";"M0805";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"470nF";"C-EUC0805";"C0805";"C13, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"74AHC1G08DCK";"74AHC1G08DCK";"SC70-5";"IC1";"2-input AND gate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"74HCT04D";"74HCT04D";"SO14";"IC2";"Hex INVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AP3032 / n.a.";"AP3032";"SOT23-6";"U$27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"B240A";"DIODE_SCHTKY_B240";"DO-214AC";"D2";"";"";"DIODE SMD General Purpose 400V 1A 1.4W RoHS DO-214AC";"DO-214AC";"http://www.digikey.com/product-detail/en/B240A-13-F/B240A-FDICT-ND/717810";"";"DIGIKEY";"B240A-FDICT-ND";"";"";"";"DIODE";"0.11";"";"B240A";"DIODES";"B240A-13-F";
"4";"BTN";"SMD1.36X3";"SMD1,36-3";"G_IN, LR, P_IN, UD";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"BTN";"SMD2";"SMD1,27-2,54";"BAT, GND4, POWERIN";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DS2431P";"DS2431P";"TSOC6";"U2";"1024-Bit EEPROM";"";"IC, 1024-Bit, 1-Wire EEPROM, TSOC6";"TSOC6";"http://www.digikey.com/product-detail/en/DS2431P%2BT%26R/DS2431P%2BT%26RCT-ND/3647900";"";"DIGIKEY";"DS2431P+T&RCT-ND";"";"";"";"IC";"0.98";"";"";"MAXIM";"DS2431P+T&R";
"1";"FH12-04S-0.5SH";"FH12-04S-0.5SH";"FH12-04S-0.5SH";"DISP_POW";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"FH12-10S-0.5SH(55)";"1324540";"34M6152";"";"";"";"";"";"";
"1";"FH12-10S-0.5SH";"FH12-10S-0.5SH";"FH12-10S-0.5SH";"L_B";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"FH12-10S-0.5SH(55)";"1324540";"34M6152";"";"";"";"";"";"";
"1";"FH12-24S-0.5SH";"FH12-24S-0.5SH";"FH12-24S-0.5SH";"R_B";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"FH12-24S-0.5SH(55)";"1324552";"34M6170";"";"";"";"";"";"";
"1";"FH12-40S-0.5SH";"FH12-40S-0.5SH";"FH12-40S-0.5SH";"DISP_DATA";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"FH12-40S-0.5SH(55)";"1324556";"34M6178";"";"";"";"";"";"";
"1";"GND";"SMD2";"SMD1,27-2,54";"GND3";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM339D";"LM339D";"SO14";"IC4";"Low Power Low Offset Voltage Quad Comparators";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"LOGO_10X10_SILK";"LOGO_10X10_SILK";"LOGO2_10X10_SILK";"U$2, U$5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LOGO_NO_TRASHNO_TRASH";"LOGO_NO_TRASHNO_TRASH";"LOGO_ROHS_NO_TRASH";"U$4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LOGO_NO_TRASHROHS";"LOGO_NO_TRASHROHS";"LOGO_ROHS_SYM";"U$3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PCA9555PW";"PCA9555PW";"TSSOP24";"IC3";"16-bit I2C and SMBus I/O port with interrupt";"";"";"";"";"";"";"";"PCA9555PW";"1408297";"63K6069";"";"";"";"";"";"";
"1";"SMD_SJ_3WAY_CLOSED";"SMD_SJ_3WAY_CLOSED";"SMD_SJ_3WAY_CLOSED";"SJ3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SRN6045-100M";"SRN6045-100M";"SRN6045";"L2";"";"";"power inductor 10uH 2.5A 58.6 mohm";"SRN6045";"http://www.digikey.com/product-detail/en/SRN6045-100M/SRN6045-100MTR-ND/2756120";"";"DIGIKEY";"SRN6045-100MTR-ND";"";"";"";"IND";"0.15";"±20%";"";"BOURNS";"SRN6045-100M";
"1";"TF-HOLDER";"TF-HOLDER";"TF-PULL";"SDIO";"TF / Micro SD socket is PUSH-PUSH type, the card can be pushed into and auto locked and pushed out by simply press the card.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"n.a.";"C-EUC0805";"C0805";"C7, C9, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"n.a.";"R-EU_M0805";"M0805";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
